node,degree,degree_centrality,closeness_centrality,betweenness_centrality,clustering_coefficient
0.0n.ee,1838,0.1311826422096924,0.5348944246136174,2.31710754965572e-06,0.850074902129661
0.5dollah.click,3868,0.27606880308329174,0.5798104071036351,8.965801294751073e-06,0.7965126699143159
001.fediversenederland.nl,184,0.013132538719577475,0.5029813628577546,3.2346494513950663e-08,0.9724364033756299
0371.uk,2503,0.17864535008207838,0.5488144676449104,2.2861334148821394e-06,0.8937195429433521
080984.xyz,766,0.05467132966954536,0.5138527445583607,2.6058762559893164e-07,0.9049642485366645
0lb.be,8743,0.6240097066590536,0.7265982327708534,6.02745545777866e-05,0.6541195305494322
0v0.ch,4262,0.30418956534151737,0.5894511341117987,2.727818271683337e-06,0.910199686328184
0verti.me,3695,0.2637213617871672,0.5757339504136126,2.5390478789783595e-06,0.9164939231449456
0w0.best,1311,0.09356933837698951,0.5243195095652784,8.476797247720464e-07,0.8694475984185489
0x212.com,4113,0.29355506387838126,0.5858015872640516,5.206454963338793e-06,0.8869220777623573
0x3c.pl,7524,0.5370066376418529,0.6833732439588057,3.4653109790077564e-05,0.732902141036494
100terres.social,3448,0.2460923560059953,0.5699227164004839,1.1854872983490515e-06,0.9378158955936666
101010.pl,11707,0.8355577760331169,0.8587110530422449,0.00034688417798336204,0.45258643140589555
10211104.fedicity.net,116,0.008279209192777104,0.5018097524443609,2.0186350758465503e-10,0.9896551724137931
103.social,4720,0.33687816715437874,0.6010387647849553,3.921779787892175e-06,0.8917217990022305
1040ste.net,6943,0.49553921918492616,0.6644681191022059,2.0663854068859545e-05,0.771322709972421
10base2.dev,7182,0.5125972450217686,0.6720580313860572,2.6930290446842034e-05,0.7461331926111058
10mb.social,6960,0.49675255156662623,0.6650361484593412,2.75233738094914e-05,0.7469018041633013
1210.nl,9818,0.7007351366783242,0.7694802254071814,0.00011217876010183054,0.5784687858704494
12xu.xyz,5838,0.4166726143744201,0.6312776639599625,1.057257260915681e-05,0.8320891573327037
13bells.com,6530,0.466062379558918,0.6516964276986033,2.281024850959553e-05,0.7579426176580069
15-15-15.social,4836,0.3451573763471558,0.6040723498537548,4.743670192446376e-06,0.8885403595748194
160.176.40.77.in-addr.arpa,2275,0.1623724216686889,0.5439537405104257,6.087884118471156e-07,0.9407726134902916
184.im,2247,0.1603739918635358,0.5433627388133906,1.0782293837204613e-06,0.9168270665428645
19130104.xyz,985,0.0703019056455642,0.5179965650116483,3.413626223858028e-08,0.9813977962114646
1dhfsbbdpv4wshuyc6197nymcfeqqkfvy9.tupambae.org,1019,0.07272857040896438,0.5186296719244403,1.4061979570898873e-07,0.955923890096034
1m2lab.anvil.top,7808,0.5572764256655485,0.6929434452672154,4.9774888584973426e-05,0.6896159158342555
1password.social,8762,0.6253657840268361,0.7272775081520665,6.751846747290092e-05,0.6364767482707557
2046.mywire.org,3722,0.26564841909927916,0.5763500634655865,2.170226228748939e-06,0.9185556915085112
21cm.ca,397,0.028334879737349227,0.5069143187793183,6.1244891217996936e-09,0.9795308246189858
221331.xyz,129,0.00920705160231247,0.5020436376724469,9.259657154592974e-10,0.9826792635658915
2248.live,1459,0.10413246734708444,0.5272412794894344,8.006288292615354e-07,0.8898516468896993
23.illuminati.org,9258,0.6607665405752623,0.746548016311771,9.023297513880973e-05,0.6136214540301171
23.social,11221,0.8008707444151024,0.8338097619363992,0.00025776348465109025,0.48775943882912437
280562.com,123,0.008778816644065377,0.5019536560189227,6.950990288360989e-11,0.9916033586565374
285936586.masto.host,837,0.05973877667546928,0.5151381798167931,3.9943485538853113e-08,0.966678671262712
2done.club,2289,0.16337163657126544,0.5442497237343032,1.9228649911103273e-06,0.8735263207740271
2tonwaffle.social,1654,0.11805010349011491,0.5311611403087618,4.332457161767139e-07,0.9470926409130443
3.5mbps.net,549,0.03918349867960888,0.5097746966383884,2.0134436786972212e-07,0.8921994867908474
300bps.kr,1713,0.12226108057954464,0.5323322996373271,2.2492049565601617e-06,0.8503759049816958
