domain,software,users,signup,uptime_alltime
0.0.0.1.4.7.4.0.1.a.2.ip6.arpa,mastodon,1,False,
0.0n.ee,mastodon,5,True,
0.5dollah.click,mitra,7,False,99.63
0.9.2.e164.arpa,mastodon,2,False,
001.fediversenederland.nl,mastodon,0,True,
014450.xyz,lemmy,13,True,96.45
0371.uk,mastodon,1,False,99.87
080984.xyz,sharkey,2,False,97.04
0ab.uk,mastodon,1,True,
0ch.tv,peertube,2,True,95.23
0hypothesis.vivaldi.net,wordpress,1,False,100.0
0lb.be,mastodon,8,False,
0v0.ch,mastodon,1,False,
0verti.me,pleroma,4,False,98.82
0w0.best,mastodon,3,False,
0w0.uno,mastodon,1,False,
0x.trans.fail,mastodon,2,False,
0x123.org,mastodon,2,False,
0x212.com,mastodon,1,False,
0x3c.pl,mastodon,93,False,
0xdd.org.ru,lemmy,7,True,99.86
1.6.0.0.8.0.0.b.e.d.0.a.2.ip6.arpa,mastodon,49,False,
100terres.social,mastodon,1,False,
101010.pl,mastodon,8491,True,99.86
10211104.fedicity.net,mastodon,33,False,
103.social,mastodon,2,False,
1040ste.net,mastodon,2,False,96.89
10base2.dev,mastodon,11,True,99.92
10mb.social,mastodon,2,False,
10thstreet.media,wordpress,1,False,99.56
1132don.com,mastodon,15,True,99.72
11n.org,snac,1,False,99.53
1210.nl,mastodon,13,False,
1234.as,mastodon,4295,True,
123nz.nl,wordpress,4,False,97.89
128bit.noblogs.org,wordpress,1,True,99.2
128k.site,writefreely,1,False,99.96
12characters.xyz,lemmy,5,False,93.47
12xu.xyz,akkoma,3,False,100.0
1312blogs.org,writefreely,3,True,99.83
1337lemmy.com,lemmy,34,False,98.85
13bells.com,mastodon,3,True,
145159.bitmap.stream,mastodon,1,False,
15-15-15.social,mastodon,19,False,99.78
160.176.40.77.in-addr.arpa,mastodon,1,False,
1732378310224.kzkr.xyz,yojoart,7,False,98.27
17th.me,mastodon,1,True,
184.im,mastodon,1,False,
19130104.xyz,mastodon,1,False,99.97
1964.co.nz,wordpress,6,False,99.37
1a23.com,wordpress,1,False,99.77
1berry.de,mastodon,2,False,
1d6.icu,mastodon,12,True,
1dhfsbbdpv4wshuyc6197nymcfeqqkfvy9.tupambae.org,mastodon,0,False,
1earthadventures.com,wordpress,2,False,98.89
1foo.net,mastodon,16,False,99.49
1m2lab.anvil.top,iceshrimp,4,True,99.18
1mag3.dk,pixelfed,2,False,100.0
1password.social,mastodon,12,False,
1uca.com,kmyblue,15,True,98.61
2-blog.net,wordpress,3,False,99.68
2000.moe,mastodon,1,False,
2023.wp-devil.com,wordpress,3,False,99.97
2024.glpf.de,wordpress,1,False,99.92
2025.algorithmicpattern.org,wordpress,1,False,97.64
2025.berlinbuzzwords.de,wordpress,1,False,68.97
2046.mywire.org,mastodon,1,False,
207.social,mastodon,1,False,
21cm.ca,mastodon,2,False,99.96
21te477.edu2web.com,wordpress,3,False,99.91
21te495.edu2web.com,wordpress,4,False,90.4
221331.xyz,misskey,6,False,97.52
2248.live,misskey,9,False,98.72
23.illuminati.org,mastodon,185,True,
23.social,mastodon,258,True,
246135.xyz,mastodon,8,False,99.92
25.netribution.co.uk,wordpress,7,False,100.0
2740.sumomo.ne.jp,wordpress,1,False,99.9
28.whippy.kr,mastodon,38,True,
280562.com,mastodon,6,False,98.97
285936586.masto.host,mastodon,10,True,
2done.club,misskey,4,False,98.76
2mind.org,wordpress,2,False,99.05
2tonwaffle.forum,nodebb,27,True,100.0
2tonwaffle.social,mastodon,2,True,100.0
2underground.com,owncast,1,False,99.96
3.5mbps.net,cherrypick,3,False,99.84
300bps.kr,mastodon,8,True,99.95
305greenery.com,wordpress,3,True,98.88
30d.org,mastodon,1,False,98.6
316room.com,misskey,13,False,99.84
333thats33s.cc,mastodon,5,True,91.56
338338.xyz,mastodon,23,True,
366.koyomi.online,mastodon,1,False,
386898.xyz,mastodon,1,False,
39383844.xyz,mastodon,7,True,
39sounds.net,mastodon,11,False,
